Organ System,Category,Drug,Recommendation,Quality of Evidence,Strength of Recommendation
Anticholinergics,First‐generation antihistamines,Brompheniramine,Avoid,Moderate,Strong
Anticholinergics,First‐generation antihistamines,Carbinoxamine,Avoid,Moderate,Strong
Anticholinergics,First‐generation antihistamines,Chlorpheniramine,Avoid,Moderate,Strong
Anticholinergics,First‐generation antihistamines,Clemastine,Avoid,Moderate,Strong
Anticholinergics,First‐generation antihistamines,Cyproheptadine,Avoid,Moderate,Strong
Anticholinergics,First‐generation antihistamines,Dexbrompheniramine,Avoid,Moderate,Strong
Anticholinergics,First‐generation antihistamines,Dexchlorpheniramine,Avoid,Moderate,Strong
Anticholinergics,First‐generation antihistamines,Dimenhydrinate,Avoid,Moderate,Strong
Anticholinergics,First‐generation antihistamines,Diphenhydramine (oral),Avoid,Moderate,Strong
Anticholinergics,First‐generation antihistamines,Doxylamine,Avoid,Moderate,Strong
Anticholinergics,First‐generation antihistamines,Hydroxyzine,Avoid,Moderate,Strong
Anticholinergics,First‐generation antihistamines,Meclizine,Avoid,Moderate,Strong
Anticholinergics,First‐generation antihistamines,Promethazine,Avoid,Moderate,Strong
Anticholinergics,First‐generation antihistamines,Pyrilamine,Avoid,Moderate,Strong
Anticholinergics,First‐generation antihistamines,Triprolidine,Avoid,Moderate,Strong
Anticholinergics,Antiparkinsonian agents,Benztropine (oral),Avoid,Moderate,Strong
Anticholinergics,Antiparkinsonian agents,Trihexyphenidyl,Avoid,Moderate,Strong
Anticholinergics,Antispasmodics,Atropine (excludes ophthalmic),Avoid,Moderate,Strong
Anticholinergics,Antispasmodics,Belladonna alkaloids,Avoid,Moderate,Strong
Anticholinergics,Antispasmodics,Clidinium‐chlordiazepoxide,Avoid,Moderate,Strong
Anticholinergics,Antispasmodics,Dicyclomine Homatropine (excludes opthalmic),Avoid,Moderate,Strong
Anticholinergics,Antispasmodics,Hyoscyamine,Avoid,Moderate,Strong
Anticholinergics,Antispasmodics,Methscopolamine,Avoid,Moderate,Strong
Anticholinergics,Antispasmodics,Propantheline,Avoid,Moderate,Strong
Anticholinergics,Antispasmodics,Scopolamine,Avoid,Moderate,Strong
Antithrombotics,NA,"Dipyridamole, oral short acting (does not apply to the extended‐release combination with aspirin)",Avoid,Moderate,Strong
Anti‐infective,NA,Nitrofurantoin,Avoid in individuals with creatinine clearance <30 mL/min or for long‐term suppression,Low,Strong
Cardiovascular,Peripheral alpha‐1 blockers for treatment of hypertension,Doxazosin,Avoid use as an antihypertensive,Moderate,Strong
Cardiovascular,Peripheral alpha‐1 blockers for treatment of hypertension,Prazosin,Avoid use as an antihypertensive,Moderate,Strong
Cardiovascular,Peripheral alpha‐1 blockers for treatment of hypertension,Terazosin,Avoid use as an antihypertensive,Moderate,Strong
Cardiovascular,Central alpha‐agonists,Clonidine for first‐line treatment of hypertension,"Avoid as first‐line antihypertensive
Avoid other CNS alpha‐agonists as listed
","Low
Low
","Strong
Strong
"
Cardiovascular,Central alpha‐agonists,Other CNS alpha‐agonists,"Avoid as first‐line antihypertensive
Avoid other CNS alpha‐agonists as listed
","Low
Low
","Strong
Strong
"
Cardiovascular,Central alpha‐agonists,Guanabenz,"Avoid as first‐line antihypertensive
Avoid other CNS alpha‐agonists as listed
","Low
Low
","Strong
Strong
"
Cardiovascular,Central alpha‐agonists,Guanfacine,"Avoid as first‐line antihypertensive
Avoid other CNS alpha‐agonists as listed
","Low
Low
","Strong
Strong
"
Cardiovascular,Central alpha‐agonists,Methyldopa,"Avoid as first‐line antihypertensive
Avoid other CNS alpha‐agonists as listed
","Low
Low
","Strong
Strong
"
Cardiovascular,Central alpha‐agonists,Reserpine (>0.1 mg/day),"Avoid as first‐line antihypertensive
Avoid other CNS alpha‐agonists as listed
","Low
Low
","Strong
Strong
"
Cardiovascular,NA,Disopyramide,Avoid,Low,Strong
Cardiovascular,NA,Dronedarone,Avoid in individuals with permanent atrial fibrillation or severe or recently decompensated heart failure,High,Strong
Cardiovascular,NA,Digoxin for first‐line treatment of atrial fibrillation or of heart failure,"Avoid this rate control agent as first‐line therapy for atrial fibrillation
Avoid as first‐line therapy for heart failure
If used for atrial fibrillation or heart failure, avoid dosages >0.125 mg/day
","Atrial fibrillation: low
Heart failure: low
Dosage >0.125 mg/day: moderate
","Atrial fibrillation: strong
Heart failure: strong
Dosage >0.125 mg/day: strong
"
Cardiovascular,NA,"Nifedipine, immediate release",Avoid,High,Strong
Cardiovascular,NA,Amiodarone,Avoid as first‐line therapy for atrial fibrillation unless patient has heart failure or substantial left ventricular hypertrophy,High,Strong
Central nervous system,"Antidepressants, alone or in combination",Amitriptyline,Avoid,High,Strong
Central nervous system,"Antidepressants, alone or in combination",Amoxapine,Avoid,High,Strong
Central nervous system,"Antidepressants, alone or in combination",Clomipramine,Avoid,High,Strong
Central nervous system,"Antidepressants, alone or in combination",Desipramine,Avoid,High,Strong
Central nervous system,"Antidepressants, alone or in combination",Doxepin >6 mg/day,Avoid,High,Strong
Central nervous system,"Antidepressants, alone or in combination",Imipramine,Avoid,High,Strong
Central nervous system,"Antidepressants, alone or in combination",Nortriptyline,Avoid,High,Strong
Central nervous system,"Antidepressants, alone or in combination",Paroxetine,Avoid,High,Strong
Central nervous system,"Antidepressants, alone or in combination",Protriptyline,Avoid,High,Strong
