query	term	label	source	quality	action
asthma	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	EFO OBO	match	
bowel problem	http://www.ebi.ac.uk/efo/EFO_1001061	neurogenic bowel	OLS API EFO lookup	fuzzy	check if valid
bronchitis	http://www.ebi.ac.uk/efo/EFO_0009661	bronchitis	EFO OBO	match	
cardiovascular					
cholelithiasis/gall stones	http://www.ebi.ac.uk/efo/EFO_0004799	cholelithiasis/gall stones	Zooma API lookup	match	
connective tissue disorder					
dermatology	http://www.ebi.ac.uk/efo/EFO_1000967	hidrocystoma	OLS API EFO lookup	fuzzy	check if valid
diabetes	http://www.ebi.ac.uk/efo/EFO_0000400	diabetes mellitus	EFO OBO	match	
disA					
eczema/dermatitis	http://purl.obolibrary.org/obo/HP_0000964	eczema/dermatitis	Zooma API lookup	match	
emphysema/chronic bronchitis	http://www.ebi.ac.uk/efo/EFO_0000464	emphysema/chronic bronchitis	Zooma API lookup	match	
endocrine/diabetes	http://www.ebi.ac.uk/efo/EFO_1000917	endocrine tuberculosis	OLS API EFO lookup	fuzzy	check if valid
eye/eyelid problem	http://www.ebi.ac.uk/efo/EFO_0003966	eye/eyelid problem	Zooma API lookup	match	
gall bladder disease					
glaucoma	http://www.ebi.ac.uk/efo/EFO_0000516	glaucoma	EFO OBO	match	
gout	http://www.ebi.ac.uk/efo/EFO_0004274	gout	EFO OBO	match	
haematology					
haematology/dermatology					
hayfever/allergic rhinitis	http://www.ebi.ac.uk/efo/EFO_0005854	hayfever/allergic rhinitis	Zooma API lookup	match	
heart attack/myocardial infarction	http://www.ebi.ac.uk/efo/EFO_0000612	heart attack/myocardial infarction	Zooma API lookup	match	
heart/cardiac problem	http://www.ebi.ac.uk/efo/EFO_0003777	heart/cardiac problem	Zooma API lookup	match	
high cholesterol	http://purl.obolibrary.org/obo/HP_0003124	high cholesterol	Zooma API lookup	match	
hypertension	http://www.ebi.ac.uk/efo/EFO_0000537	hypertension	EFO OBO	match	
hyperthyroidism/thyrotoxicosis	http://www.ebi.ac.uk/efo/EFO_0009189	hyperthyroidism/thyrotoxicosis	Zooma API lookup	match	
hypothyroidism/myxoedema	http://www.ebi.ac.uk/efo/EFO_1001055	hypothyroidism/myxoedema	Zooma API lookup	match	
immunological/systemic disorders	http://www.ebi.ac.uk/efo/EFO_0009692	voice disorders	OLS API EFO lookup	fuzzy	check if valid
inflammatory bowel disease	http://www.ebi.ac.uk/efo/EFO_0003767	inflammatory bowel disease	EFO OBO	match	
liver/biliary/pancreas problem	http://www.ebi.ac.uk/efo/EFO_0009605	liver/biliary/pancreas problem	Zooma API lookup	match	
migraine	http://www.ebi.ac.uk/efo/EFO_0003821	migraine disorder	EFO OBO	match	
nasal/sinus disorder	http://www.ebi.ac.uk/efo/EFO_0009481	nasal/sinus disorder	Zooma API lookup	match	
oesophageal disorder	http://www.ebi.ac.uk/efo/EFO_0000478	esophageal adenocarcinoma	OLS API EFO lookup	fuzzy	check if valid
osteoporosis	http://www.ebi.ac.uk/efo/EFO_0003882	osteoporosis	EFO OBO	match	
psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	psoriasis	EFO OBO	match	
psychological/psychiatric problem	http://www.ebi.ac.uk/efo/EFO_0005407	psychological/psychiatric problem	Zooma API lookup	match	
pulmonary embolism +/- dvt	http://www.ebi.ac.uk/efo/EFO_0003827	pulmonary embolism +/- dvt	Zooma API lookup	match	
respiratory/ent	http://www.ebi.ac.uk/efo/EFO_0009686	respiratory failure	OLS API EFO lookup	fuzzy	check if valid
rheumatoid arthritis	http://www.ebi.ac.uk/efo/EFO_0000685	rheumatoid arthritis	EFO OBO	match	
thyroid problem (not cancer)	http://purl.obolibrary.org/obo/MONDO_0002108	thyroid cancer	OLS API EFO lookup	fuzzy	check if valid
type 2 diabetes	http://www.ebi.ac.uk/efo/EFO_0001360	type II diabetes mellitus	EFO OBO	match	
ulcerative colitis	http://www.ebi.ac.uk/efo/EFO_0000729	ulcerative colitis	EFO OBO	match	
venous thromboembolic disease	http://purl.obolibrary.org/obo/HP_0004936	venous thromboembolic disease	Zooma API lookup	match	
