morbidity,diseaseId,diseaseName,specificDiseaseId,specificDiseaseName,therapeuticAreas,description
idiopathic pulmonary fibrosis,EFO_0000768,idiopathic pulmonary fibrosis,EFO_0000768,idiopathic pulmonary fibrosis,"['OTAR_0000018', 'EFO_0005741', 'OTAR_0000010', 'MONDO_0045024']",Idiopathic pulmonary fibrosis (IPF) is a nonneoplastic pulmonary disease that is characterized by the formation of scar tissue within the lungs in the absence of any known cause.
adult onset asthma,EFO_1002011,adult onset asthma,EFO_1002011,adult onset asthma,['OTAR_0000010'],Asthma that starts in adulthood
chronic obstructive pulmonary disease,EFO_0000341,chronic obstructive pulmonary disease,EFO_0000341,chronic obstructive pulmonary disease,['OTAR_0000010'],A group of disorders affecting the bronchi and the lung parenchyma. It is characterized by chronic and irreversible obstruction of the airflow. It includes chronic bronchitis and pulmonary emphysema.
chronic kidney disease,EFO_0003884,chronic kidney disease,EFO_0003884,chronic kidney disease,['EFO_0009690'],"The end-stage of CHRONIC RENAL INSUFFICIENCY. It is characterized by the severe irreversible kidney damage (as measured by the level of PROTEINURIA) and the reduction in GLOMERULAR FILTRATION RATE to less than 15 ml per min (Kidney Foundation: Kidney Disease Outcome Quality Initiative, 2002). These patients generally require HEMODIALYSIS or KIDNEY TRANSPLANTATION."
osteoarthritis,EFO_0002506,osteoarthritis,EFO_0002506,osteoarthritis,['OTAR_0000006'],"A noninflammatory degenerative joint disease occurring chiefly in older persons, characterised by degeneration of the articular cartilage, hypertrophy of bone at the margins and changes in the synovial membrane. It is accompanied by pain and stiffness, particularly after prolonged activity."
rheumatoid arthritis,EFO_0000685,rheumatoid arthritis,EFO_0000685,rheumatoid arthritis,"['OTAR_0000006', 'EFO_0000540']","A chronic systemic disease, primarily of the joints, marked by inflammatory changes in the synovial membranes and articular structures, widespread fibrinoid degeneration of the collagen fibers in mesenchymal tissues, and by atrophy and rarefaction of bony structures. Etiology is unknown, but autoimmune mechanisms have been implicated."
heart disease,EFO_0003777,heart disease,EFO_0003777,heart disease,"['OTAR_0000010', 'EFO_0000319']",A disease involving the heart and/or pericardium.
atherosclerosis,EFO_0003914,atherosclerosis,EFO_0003914,atherosclerosis,['EFO_0000319'],A thickening and loss of elasticity of the walls of ARTERIES that occurs with formation of ATHEROSCLEROTIC PLAQUES within the ARTERIAL INTIMA.
hypertension,EFO_0000537,hypertension,EFO_0000537,hypertension,['EFO_0000319'],"Persistently high systemic arterial BLOOD PRESSURE. Based on multiple readings (BLOOD PRESSURE DETERMINATION), hypertension is currently defined as when SYSTOLIC PRESSURE is consistently greater than 140 mm Hg or when DIASTOLIC PRESSURE is consistently 90 mm Hg or more."
obesity,EFO_0001073,obesity,EFO_0001073,obesity,['MONDO_0024297'],A disorder involving an excessive amount of body fat.
neurodegeneration,HP_0002180,Neurodegeneration,HP_0002180,Neurodegeneration,"['GO_0008150', 'EFO_0000651']",Progressive loss of neural cells and tissue.
alzheimers disease,EFO_0000249,Alzheimer's disease,EFO_0000249,Alzheimer's disease,"['MONDO_0002025', 'EFO_0000618']","A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language."
parkinsons disease,EFO_0002508,Parkinson's disease,EFO_0002508,Parkinson's disease,"['OTAR_0000018', 'EFO_0000618']","A neurodegenerative disease that results_from degeneration of the central nervous system that often impairs the sufferer's motor skills, speech, and other functions."
longevity,EFO_0004300,longevity,EFO_0004300,longevity,['EFO_0001444'],The  length of time of an organism's life.
lewy body dementia,EFO_0006792,Lewy body dementia,EFO_0006792,Lewy body dementia,"['MONDO_0002025', 'EFO_0000618']","A progressive form of dementia characterized by the presence of protein deposits called Lewy bodies in the midbrain and cerebral cortex, and loss of cholinergic and dopaminergic neurons. The signs and symptoms overlap with Alzheimer and Parkinson disease."
sarcopenia,EFO_1000653,sarcopenia,EFO_1000653,sarcopenia,['OTAR_0000006'],Progressive decline in muscle mass due to aging which results in decreased functional capacity of muscles.
age-related macular degeneration,EFO_0001365,age-related macular degeneration,EFO_0001365,age-related macular degeneration,"['OTAR_0000006', 'OTAR_0000018', 'MONDO_0024458', 'EFO_0000618']",Degenerative changes in the macula lutea of the retina.
glaucoma,EFO_0000516,glaucoma,EFO_0000516,glaucoma,['MONDO_0024458'],Increased pressure in the eyeball due to obstruction of the outflow of aqueous humor.
type 2 diabetes,EFO_0001360,type II diabetes mellitus,EFO_0001360,type II diabetes mellitus,"['MONDO_0024297', 'EFO_0001379', 'EFO_0009605', 'EFO_0010282']",A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.
osteoporosis,EFO_0003882,osteoporosis,EFO_0003882,osteoporosis,['OTAR_0000006'],"A condition of reduced bone mass, with decreased cortical thickness and a decrease in the number and size of the trabeculae of cancellous bone (but normal chemical composition), resulting in increased fracture incidence. Osteoporosis is classified as primary (Type 1, postmenopausal osteoporosis; Type 2, age-associated osteoporosis; and idiopathic, which can affect juveniles, premenopausal women, and middle-aged men) and secondary osteoporosis (which results from an identifiable cause of bone mass loss)."
stroke,EFO_0000712,stroke,EFO_0000712,stroke,"['EFO_0000618', 'EFO_0000319']","A sudden, nonconvulsive loss of neurologic function due to an ischemic or hemorrhagic intracranial vascular event. In general, cerebrovascular accidents are classified by anatomic location in the brain, vascular distribution, etiology, age of the affected individual, and hemorrhagic vs. nonhemorrhagic nature. (From Adams et al., Principles of Neurology, 6th ed, pp777-810)"
metabolic syndrome,EFO_0000195,metabolic syndrome,EFO_0000195,metabolic syndrome,['MONDO_0024297'],"A cluster of metabolic risk factors for CARDIOVASCULAR DISEASES and TYPE 2 DIABETES MELLITUS. The major components of metabolic syndrome X include excess ABDOMINAL FAT; atherogenic DYSLIPIDEMIA; HYPERTENSION; HYPERGLYCEMIA; INSULIN RESISTANCE; a proinflammatory state; and a prothrombotic (THROMBOSIS) state. (from AHA/NHLBI/ADA Conference Proceedings, Circulation 2004; 109:551-556)"
delirium,EFO_0009267,delirium,EFO_0009267,delirium,"['MONDO_0002025', 'EFO_0000618']","A disorder characterized by confusion; inattentiveness; disorientation; illusions; hallucinations; agitation; and in some instances autonomic nervous system overactivity. It may result from toxic/metabolic conditions or structural brain lesions. (From Adams et al., Principles of Neurology, 6th ed, pp411-2)"
chronic pain,HP_0012532,Chronic pain,HP_0012532,Chronic pain,['EFO_0000651'],"Persistent pain, usually defined as pain that has lasted longer than 3 to 6 months."
adiponectin measurement,EFO_0004502,adiponectin measurement,EFO_0004502,adiponectin measurement,['EFO_0001444'],"Adiponectin measurement is a measurement of the circulating hormone adiponectin in serum. Adiponectin regulated modulates glucose regulation and fatty acid catabolism. Low circulating adiponectin concentrations (hypoadiponectinemia; <4 μg/mL) are associated with a variety of diseases, including dysmetabolism (type 2 diabetes, insulin resistance, hypertension, dyslipidemia, metabolic syndrome, hyperuricemia), atherosclerosis (coronary artery disease, stroke, peripheral artery disease), sleep apnea, non-alcoholic fatty liver disease, gastritis and gastro-esophageal reflux disease, inflammatory bowel diseases, pancreatitis, osteoporosis, and cancer (endometrial cancer, postmenopausal breast cancer, leukemia, colon cancer, gastric cancer, prostate cancer). Hyperadiponectinemia is associated with cardiac, renal and pulmonary diseases."
cognitive decline measurement,EFO_0007710,cognitive decline measurement,EFO_0007710,cognitive decline measurement,['EFO_0001444'],"quantification of some aspect of cognitive decline such as the rate at which it occurs or its severity, for example in patients with dementia or Alzheimer's disease. Cognitive decline is ususally assessed using a structured-interview protocol covering a number of standardised areas."
frailty measurement,EFO_0009885,frailty measurement,EFO_0009885,frailty measurement,['EFO_0001444'],"Quantification of some aspect of frailty.  Frailty is usually described as clinical state of heightened vulnerability to poor resolution of homeostasis after a stressor event, which thereby increases the risk of adverse outcomes, including falls, delirium, disability and mortality."
gait measurement,EFO_0007680,gait measurement,EFO_0007680,gait measurement,['EFO_0001444'],"quantification of some aspect of a person's gait such as rhythm, variability or step length"
grip strength measurement,EFO_0006941,grip strength measurement,EFO_0006941,grip strength measurement,['EFO_0001444'],quantification of the force applied by the hand to pull on or suspend from objects
lipid measurement,EFO_0004529,lipid measurement,EFO_0004529,lipid measurement,['EFO_0001444'],A measure of circulating lipid
healthspan,EFO_0009762,healthspan,EFO_0009762,healthspan,['EFO_0001444'],The period of a person's life during which they are generally healthy and free from serious or chronic illness.
cartilage thickness measurement,EFO_0007873,cartilage thickness measurement,EFO_0007873,cartilage thickness measurement,['EFO_0001444'],"Quantification of the thickness of cartilage in a joint, most commonly the hip joint, for example using minimal joint space width (mJSW) as a proxy measure. Cartilage thickness is an indicator of joint health, which makes it a suitable biomarker for osteoarthritis."
heel bone mineral density,EFO_0009270,heel bone mineral density,EFO_0009270,heel bone mineral density,['EFO_0001444'],Quantification of the mineral density of the heel bone
lean body mass,EFO_0004995,lean body mass,EFO_0004995,lean body mass,['EFO_0001444'],The weight of all organs and tissue in an individual less the weight of the individual's body fat.
chronic obstructive pulmonary disease,EFO_0000341,chronic obstructive pulmonary disease,EFO_0000464,emphysema,['OTAR_0000010'],"A subcategory of chronic obstructive pulmonary disease (COPD). It occurs in people who smoke and suffer from chronic bronchitis. It is characterized by inflation of the alveoli, alveolar wall damage, and reduction in the number of alveoli, resulting in difficulty breathing."
