"GO","EVIDENCE","ONTOLOGY","ENTREZID","SYMBOL","ENSEMBL"
"GO:0090400","TAS","BP","1026","CDKN1A","ENSG00000124762"
"GO:0090400","IMP","BP","1432","MAPK14","ENSG00000112062"
"GO:0090400","IDA","BP","8550","MAPKAPK5","ENSG00000089022"
"GO:0090400","IMP","BP","23411","SIRT1","ENSG00000096717"
"GO:0090402","IDA","BP","3159","HMGA1","ENSG00000137309"
"GO:0090402","IDA","BP","8091","HMGA2","ENSG00000149948"
"GO:0090403","ISS","BP","406","ARNTL","ENSG00000133794"
"GO:0090403","IMP","BP","7157","TP53","ENSG00000141510"
"GO:0090403","IMP","BP","22925","PLA2R1","ENSG00000153246"
"GO:0090403","IMP","BP","51384","WNT16","ENSG00000002745"
"GO:2000772","ISS","BP","406","ARNTL","ENSG00000133794"
"GO:2000772","IEA","BP","657","BMPR1A","ENSG00000107779"
"GO:2000772","NAS","BP","3622","ING2","ENSG00000168556"
"GO:2000772","IMP","BP","6787","NEK4","ENSG00000114904"
"GO:2000772","IEA","BP","7157","TP53","ENSG00000141510"
"GO:2000772","IDA","BP","9891","NUAK1","ENSG00000074590"
"GO:2000772","IEA","BP","10269","ZMPSTE24","ENSG00000084073"
"GO:2000772","TAS","BP","10783","NEK6","ENSG00000119408"
"GO:2000772","IEA","BP","11179","ZNF277","ENSG00000198839"
"GO:2000772","IMP","BP","22846","VASH1","ENSG00000071246"
"GO:2000772","IDA","BP","26156","RSL1D1","ENSG00000171490"
"GO:2000772","IDA","BP","87178","PNPT1","ENSG00000138035"
"GO:2000773","IEA","BP","25","ABL1","ENSG00000097007"
"GO:2000773","IEA","BP","604","BCL6","ENSG00000113916"
"GO:2000773","IDA","BP","1021","CDK6","ENSG00000105810"
"GO:2000773","IMP","BP","4215","MAP3K3","ENSG00000198909"
"GO:2000773","IEA","BP","5591","PRKDC","ENSG00000253729"
"GO:2000773","IMP","BP","5933","RBL1","ENSG00000080839"
"GO:2000773","IMP","BP","7012","TERC","ENSG00000277925"
"GO:2000773","IMP","BP","7014","TERF2","ENSG00000132604"
"GO:2000773","IDA","BP","7015","TERT","ENSG00000164362"
"GO:2000773","IMP","BP","7015","TERT","ENSG00000164362"
"GO:2000773","IMP","BP","7291","TWIST1","ENSG00000122691"
"GO:2000773","ISS","BP","8091","HMGA2","ENSG00000149948"
"GO:2000773","IMP","BP","10000","AKT3","ENSG00000117020"
"GO:2000773","IMP","BP","10000","AKT3","ENSG00000275199"
"GO:2000773","IEA","BP","10135","NAMPT","ENSG00000105835"
"GO:2000773","IEA","BP","10769","PLK2","ENSG00000145632"
"GO:2000773","IDA","BP","23411","SIRT1","ENSG00000096717"
"GO:2000773","IMP","BP","23411","SIRT1","ENSG00000096717"
"GO:2000773","IMP","BP","26271","FBXO5","ENSG00000112029"
"GO:2000773","IDA","BP","55532","SLC30A10","ENSG00000196660"
"GO:2000773","IMP","BP","80317","ZKSCAN3","ENSG00000189298"
"GO:2000773","IEA","BP","83596","BCL2L12","ENSG00000126453"
"GO:2000773","ISS","BP","406952","MIR17","ENSG00000284536"
"GO:2000773","IDA","BP","693175","MIR590","ENSG00000207741"
"GO:2000773","IDA","BP","100126335","MIR543","ENSG00000212040"
"GO:2000774","IDA","BP","384","ARG2","ENSG00000081181"
"GO:2000774","IDA","BP","567","B2M","ENSG00000166710"
"GO:2000774","IDA","BP","567","B2M","ENSG00000273686"
"GO:2000774","IMP","BP","1029","CDKN2A","ENSG00000147889"
"GO:2000774","IDA","BP","3135","HLA-G","ENSG00000204632"
"GO:2000774","IDA","BP","3135","HLA-G","ENSG00000237216"
"GO:2000774","IDA","BP","3135","HLA-G","ENSG00000230413"
"GO:2000774","IDA","BP","3135","HLA-G","ENSG00000233095"
"GO:2000774","IDA","BP","3135","HLA-G","ENSG00000206506"
"GO:2000774","IDA","BP","3135","HLA-G","ENSG00000276051"
"GO:2000774","IDA","BP","3135","HLA-G","ENSG00000235346"
"GO:2000774","IDA","BP","3135","HLA-G","ENSG00000235680"
"GO:2000774","IMP","BP","3159","HMGA1","ENSG00000137309"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000189013"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000278606"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000277076"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000275732"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000278430"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000275848"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000278201"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000277750"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000278271"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000275456"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000273498"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000275237"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000274232"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000274193"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000276779"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000278074"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000274945"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000277964"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000276044"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000277362"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000277355"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000274189"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000273575"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000277540"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000277850"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000274955"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000275699"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000275317"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000276979"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000274609"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000283961"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000284365"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000284509"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000284457"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000283869"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000283986"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000284460"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000284562"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000284206"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000284340"
"GO:2000774","IDA","BP","3805","KIR2DL4","ENSG00000284013"
