"goHallmarkId","goHallmark","goHallmarkTerm","goId","goTerm"
"GO:0090398","Cellular senescence","cellular senescence","GO:0090400","stress-induced premature senescence"
"GO:0090398","Cellular senescence","cellular senescence","GO:0090402","oncogene-induced cell senescence"
"GO:0090398","Cellular senescence","cellular senescence","GO:0090403","oxidative stress-induced premature senescence"
"GO:0090398","Cellular senescence","cellular senescence","GO:2000772","regulation of cellular senescence"
"GO:0090398","Cellular senescence","cellular senescence","GO:2000773","negative regulation of cellular senescence"
"GO:0090398","Cellular senescence","cellular senescence","GO:2000774","positive regulation of cellular senescence"
"GO:0006457","Proteostasis","protein folding","GO:0006458","'de novo' protein folding"
"GO:0006457","Proteostasis","protein folding","GO:0007023","post-chaperonin tubulin folding pathway"
"GO:0006457","Proteostasis","protein folding","GO:0022417","protein maturation by protein folding"
"GO:0006457","Proteostasis","protein folding","GO:0034975","protein folding in endoplasmic reticulum"
"GO:0006457","Proteostasis","protein folding","GO:0042026","protein refolding"
"GO:0006457","Proteostasis","protein folding","GO:0051083","'de novo' cotranslational protein folding"
"GO:0006457","Proteostasis","protein folding","GO:0051084","'de novo' posttranslational protein folding"
"GO:0006457","Proteostasis","protein folding","GO:0051085","chaperone cofactor-dependent protein refolding"
"GO:0006457","Proteostasis","protein folding","GO:0051086","chaperone mediated protein folding independent of cofactor"
"GO:0006457","Proteostasis","protein folding","GO:0060904","regulation of protein folding in endoplasmic reticulum"
"GO:0006457","Proteostasis","protein folding","GO:0061077","chaperone-mediated protein folding"
"GO:0006457","Proteostasis","protein folding","GO:0061083","regulation of protein refolding"
"GO:0006457","Proteostasis","protein folding","GO:0061084","negative regulation of protein refolding"
"GO:0006457","Proteostasis","protein folding","GO:0061992","ATP-dependent chaperone mediated protein folding"
"GO:0006457","Proteostasis","protein folding","GO:1903332","regulation of protein folding"
"GO:0006457","Proteostasis","protein folding","GO:1903333","negative regulation of protein folding"
"GO:0006457","Proteostasis","protein folding","GO:1903334","positive regulation of protein folding"
"GO:0006457","Proteostasis","protein folding","GO:1903644","regulation of chaperone-mediated protein folding"
"GO:0006457","Proteostasis","protein folding","GO:1903645","negative regulation of chaperone-mediated protein folding"
"GO:0006457","Proteostasis","protein folding","GO:1903646","positive regulation of chaperone-mediated protein folding"
"GO:0006457","Proteostasis","protein folding","GO:1904592","positive regulation of protein refolding"
"GO:0006457","Proteostasis","protein folding","GO:1990507","ATP-independent chaperone mediated protein folding"
"GO:0030163","Proteostasis","protein catabolic process","GO:0002077","acrosome matrix dispersal"
