Disease1,Disease2,Description1,Description2,I1,I2,C12,C12simultaneous,RR,p_value,Category1,Category2,Direction,N1,N2,P1_direction,P2_direction
I08,I26,I08 Multiple valve diseases,I26 Pulmonary embolism,3034,5399,138,36,3.456561513,0,Cardiovascular,Cardiovascular,0,31,71,1,0.399272267
E88,I08,E88 Other metabolic disorders,I08 Multiple valve diseases,599,3034,23,6,5.192536341,4.15E-10,Metabolic,Cardiovascular,0,6,11,0.994688988,0.661180258
I08,J18,I08 Multiple valve diseases,"J18 Pneumonia, organism unspecified",3034,14881,621,135,5.643363366,0,Cardiovascular,Respiratory,0,205,281,1,0.992007806
I08,I42,I08 Multiple valve diseases,I42 Cardiomyopathy,3034,1969,242,72,16.62065677,0,Cardiovascular,Cardiovascular,0,74,96,1,0.999498328
I08,J90;J92;J94,I08 Multiple valve diseases,"J90 Pleural effusion, not elsewhere classified;J92 Pleural plaque;J94 Other pleural conditions",3034,9527,627,209,8.899997952,3.23E-14,Cardiovascular,Respiratory,0,205,213,1,1
I08,I48,I08 Multiple valve diseases,I48 Atrial fibrillation and flutter,3034,22139,1578,443,9.638901222,1.32E-14,Cardiovascular,Cardiovascular,0,306,829,1,0.023348927
I08,I27,I08 Multiple valve diseases,I27 Other pulmonary heart diseases,3034,1452,334,167,31.10701807,7.77E-16,Cardiovascular,Cardiovascular,0,96,71,1,1
I08,M13,I08 Multiple valve diseases,M13 Other arthritis,3034,19151,323,45,2.280812567,7.41E-14,Cardiovascular,Joint,0,89,189,1,0.001302262
I05,I08,I05 Rheumatic mitral valve diseases,I08 Multiple valve diseases,489,3034,127,5,35.12152726,5.55E-16,Cardiovascular,Cardiovascular,0,78,44,0.006330342,0.999826521
I08,J81,I08 Multiple valve diseases,J81 Pulmonary oedema,3034,769,77,13,13.54075613,0,Cardiovascular,Respiratory,0,22,42,0.99995892,0.247191137
I08,I71,I08 Multiple valve diseases,I71 Aortic aneurysm and dissection,3034,2176,183,85,11.37288715,5.55E-16,Cardiovascular,Cardiovascular,0,36,62,1,0.999996172
F41,I08,F41 Other anxiety disorders,I08 Multiple valve diseases,10708,3034,187,32,2.361629554,2.64E-14,Psychiatric,Cardiovascular,0,84,71,0.92830546,0.999637125
I08,I73,I08 Multiple valve diseases,I73 Other peripheral vascular diseases,3034,5702,228,41,5.40737097,0,Cardiovascular,Cardiovascular,0,70,117,0.999999999,0.370312965
I08,I67,I08 Multiple valve diseases,I67 Other cerebrovascular diseases,3034,4194,157,31,5.0623219,0,Cardiovascular,Cardiovascular,0,60,66,0.998841263,0.98117738
I08,M10,I08 Multiple valve diseases,M10 Gout,3034,5405,218,40,5.454303829,0,Cardiovascular,Joint,0,68,110,0.999999994,0.473011187
I08,J86;J93,I08 Multiple valve diseases,J86 Pyothorax;J93 Pneumothorax,3034,1710,71,21,5.614883754,1.89E-15,Cardiovascular,Respiratory,0,27,23,0.984036419,0.999089798
I08,I45,I08 Multiple valve diseases,I45 Other conduction disorders,3034,3645,234,63,8.681541704,1.67E-15,Cardiovascular,Cardiovascular,0,70,101,1,0.984617612
E78,I08,E78 Disorders of lipoprotein metabolism and other lipidaemias,I08 Multiple valve diseases,53818,3034,1414,332,3.553042368,1.08E-13,Metabolic,Cardiovascular,1,798,284,7.19E-07,1
E11,I08,E11 Non-insulin-dependent diabetes mellitus,I08 Multiple valve diseases,29261,3034,589,89,2.722103674,9.74E-14,Endocrine,Cardiovascular,1,391,109,7.14E-16,1
A40,I08,A40 Streptococcal septicaemia,I08 Multiple valve diseases,411,3034,23,6,7.567711115,2.69E-13,Infectious,Cardiovascular,0,10,7,0.797563553,0.982655168
B95,I08,B95 Streptococcus and staphylococcus as the cause of diseases classified to other chapters,I08 Multiple valve diseases,6041,3034,223,38,4.99199979,0,Infectious,Cardiovascular,0,103,82,0.886008549,0.999973417
E66,I08,E66 Obesity,I08 Multiple valve diseases,19224,3034,405,89,2.848982598,4.57E-14,Nutritional,Cardiovascular,0,207,109,0.345516338,1
I08,I24,I08 Multiple valve diseases,I24 Other acute ischaemic heart diseases,3034,2352,203,67,11.67178426,0,Cardiovascular,Cardiovascular,0,74,62,0.999961638,0.999999994
