File,Header,Description,Example
genetics_table.csv,id,"Unique identifier for the genetic association, formed of [studyId].[lead_variantId]",GCST004147.16_75439257_G_A
,cluster,Unique identifier for the cluster ,143
,n_morbidities,Number of morbidities associated with the cluster,
,morbidity,The high-level age-related disease or trait that corresponds to the GWAS,chronic obstructive pulmonary disease
,has_sumstats,Boolean indicating whether full summary statistics are available for the study,TRUE
,studyId,id for the GWAS analysis,GCST004147
,lead_variantId,Lead variant ID formated as CHR_POSITION_REFALLELE_ALT_ALLELE,16_75439257_G_A
,n_cases,Number of cases in the discovery sample,12550
,trait_reported,"Full detail of the trait studied, as reported in the publication",Type 2 diabetes (adjusted for BMI)
,direction,"Direction of effect of the alternative allele (one of +, -, NA)","""+"""
,overall_community,"ID of the community of which the variant is a member, when detecting communities within the overall graph",65
,community,"ID of the sub-cluster community of which the variant is a member, when detecting communities within the cluster",262
,communities,Number of communities detected within the cluster,2
,gene.symbol,The HGNC-approved official gene symbol ,SMG6
,gene.id,Ensembl gene ID (the primary identifier used for Open Targets),ENSG00000153774
,L2G,Locus-to-gene (L2G) score of the gene for the locus,0.8551864624
,hasColoc,Association has evidence of colocalisation with xQTL levels for the target (boolean TRUE/FALSE),TRUE
,distanceToLocus,Distance from locus to gene transcription start site (bp),25257
,specificDiseaseName,EFO term name corresponding to the GWAS (NA if the same as the morbidity),BMI-adjusted adiponectin measurement
,targetIds,targetId for all potentially causal (L2G>0.5) genes in the cluster (semicolon-separated list string),ENSG00000163281;ENSG00000177752
,targetSymbols,targetSymbol for all potentially causal (L2G>0.5) genes in the cluster (semicolon-separated list string),GNPDA2;YIPF7
,n_initial,Discovery sample size,58918
,n_replication,Replication sample size,23520
,ancestry_initial,"Discovery ancestry information (not available in CSV format, see note 7)",
,ancestry_replication,"Replication ancestry information (not available in CSV format, see note 7)",
,num_assoc_loci,Total number of associated loci identified in the GWAS,23
,odds_ratio,Odds ratio for the lead variant ,1.12
,oddsr_ci_lower,The lower limit of the 95% confidence interval for the odds ratio (for studies reporting odds ratio),1.084039742
,oddsr_ci_upper,The upper limit of the 95% confidence interval for the odds ratio (for studies reporting odds ratio),1.157153148
,beta,Beta coefficient for the lead variant,0.0439
,beta_ci_lower,The lower limit of the 95% confidence interval for the beta coefficient (for studies reporting beta coefficient),0.03287429842
,beta_ci_upper,The upper limit of the 95% confidence interval for the beta coefficient (for studies reporting beta coefficient),0.05492570158
,lead_alt,Alternative allele as reported by Ensembl,A
,lead_chrom,Chromosome location of the lead variant,16
,lead_pos,Position of the lead variant ,75439257
,lead_ref,Reference allele as reported by Ensembl,G
,pval,p value for the lead variant ,1.00E-11
,,,
,,,
targetage_annotation_table.csv,targetId,Ensembl gene ID (primary identifier used for Open Targets),ENSG00000070366
,targetSymbol,The HGNC-approved official gene symbol ,SMG6
