"","studyId","trait_reported"
"1","GCST005073","Triglyceride levels"
"2","GCST007516","Type 2 diabetes (adjusted for BMI)"
"3","GCST009358","Triglyceride levels x long total sleep time interaction (1df test)"
"4","FINNGEN_R5_G6_ALZHEIMER_EXMORE","Alzheimer disease (more controls excluded)"
"5","GCST002964","Sphingolipid levels [Hydroxysphingomyeline C16:1]"
"6","GCST003853","Hip minimal joint space width"
"7","GCST005467_2","Triglyceride levels in medium VLDL [conditioned on 885 SNPs]"
"8","GCST007131","Low density lipoprotein cholesterol levels"
"9","GCST011337","Body fat percentage and type 2 diabetes (pairwise)"
"10","FINNGEN_R5_I9_HYPTENS_EXNONE","Hypertension (no controls excluded)"
"11","GCST000533_2","Lipid metabolism phenotypes [APOA1.assay, whole]"
"12","GCST002406","Plasma cystastin c levels in acute coronary syndrome"
"13","GCST003425","Longevity"
"14","GCST004388_2","Blood pressure traits (multi-trait analysis) [Hom]"
"15","GCST007600","Alzheimer's disease"
"16","GCST007826","Alzheimer's disease or fasting insulin levels (pleiotropy)"
"17","GCST008078_3","LDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) [Asian]"
"18","NEALE2_23120_raw","Arm fat mass (right)"
"19","GCST002128","Type 2 diabetes"
"20","GCST002353_3","Parkinson's disease [Sporadic]"
"21","GCST003491","Stroke"
"22","GCST007066","Heel bone mineral density"
"23","GCST008702","Triglyceride levels"
"24","GCST008927_9","Phosphatidylcholine levels [PC(16:1;0-18:2;0]"
"25","GCST001953_3","Obesity [Obesity class II]"
"26","GCST007132","High density lipoprotein cholesterol levels"
"27","GCST007248","Stroke"
"28","GCST011336","Body mass index and HDL-C (pairwise)"
"29","SAIGE_411_1","Unstable angina (intermediate coronary syndrome)"
"30","FINNGEN_R5_FG_PULMHEART","Pulmonary heart disease"
"31","GCST000533_16","Lipid metabolism phenotypes [IDL.total, whole]"
"32","GCST002897","Triglycerides"
"33","GCST003467_2","Glaucoma (primary angle closure) [Asian]"
"34","GCST004037","Triglyceride to HDL cholesterol ratio"
"35","GCST004238","Triglyceride levels [BMI adjusted]"
"36","GCST004966","Lipoprotein-associated phospholipase A2 activity change in response to darapladib treatment in cardiovascular disease"
"37","GCST008223","Diabetic peripheral neuropathy in type 2 diabetes [EA]"
"38","GCST008922_4","Triacylglyceride levels [TAG(51:3;0]"
"39","GCST001965","Glycemic traits [1-hPG]"
"40","GCST002155_2","Osteoarthritis (hip) [Male-specifc]"
"41","GCST002353","Parkinson's disease"
"42","GCST008087_5","Triglyceride levels in current drinkers [Hispanic]"
"43","GCST008676_3","LDL cholesterol levels [EA]"
"44","GCST009870","Calcific aortic valve stenosis"
"45","GCST000240","HDL cholesterol"
"46","GCST001499","Atrial fibrillation"
"47","GCST002323","Rheumatoid arthritis"
"48","GCST004759","Very low density lipoprotein cholesterol levels"
"49","GCST011348","High density lipoprotein cholesterol levels"
"50","GCST000533_14","Lipid metabolism phenotypes [HDL.total, whole]"
"51","GCST001392_5","Lipid metabolism phenotypes [LA/PUFA]"
"52","GCST002712_3","Red blood cell fatty acid levels [ALA]"
"53","GCST008928_3","Phosphatidylcholine-ether levels [PCO(16:1;0-16:0;0]"
"54","GCST009379","Type 2 diabetes"
"55","FINNGEN_R5_I9_HYPTENSESS_EXNONE","""Hypertension, essential"" (no controls excluded)"
"56","FINNGEN_R5_M13_ARTHTROSIS_COX_PRIM_ICD10","""Coxarthrosis, primary"""
"57","GCST000533_23","Lipid metabolism phenotypes [TG.assay, fasting]"
"58","GCST003098_9","Diabetic kidney disease [additive ]"
"59","GCST004403","Bone fracture in osteoporosis"
"60","GCST005936_2","Supraventricular ectopy [African]"
"61","GCST006395","Glaucoma"
"62","GCST006696","Parental longevity (mother's attained age)"
"63","GCST007692_13","Chronic obstructive pulmonary disease [conditional on rs2284174]"
"64","GCST007848_2","LDL cholesterol [EA]"
"65","GCST010338","Response to statins (LDL cholesterol change)"
"66","GCST011141","Hypertension"
"67","NEALE2_23101_raw","Whole body fat-free mass"
"68","SAIGE_415","Pulmonary heart disease"
"69","FINNGEN_R5_I9_CHD","Major coronary heart disease event"
"70","GCST001392_8","Lipid metabolism phenotypes [MobCH]"
"71","GCST003681","C-reactive protein levels or triglyceride levels (pleiotropy)"
"72","GCST008926_2","Lysophosphatidylethanolamine levels [LPE(18:2;0]"
"73","GCST009380","Type 2 diabetes (adjusted for BMI)"
"74","GCST90013788","Osteoporosis"
"75","FINNGEN_R5_T2D_INCLAVO","""Type 2 diabetes, definitions combined, including avohilmo"""
"76","GCST001007_2","Metabolic syndrome (bivariate traits) [BP-HDLC]"
"77","GCST003661","Triglycerides"
"78","GCST007133","Triglycerides"
"79","GCST007692_22","Chronic obstructive pulmonary disease [conditional on rs721917]"
"80","GCST008078_5","LDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) [Hispanic]"
"81","GCST008922_2","Triacylglyceride levels [TAG(50:2;0]"
"82","GCST011389","Rheumatoid arthritis"
"83","GCST011394","Leg fat mass and leg lean mass (pleiotropy)"
"84","SAIGE_278","Overweight, obesity and other hyperalimentation"
"85","GCST002964_4","Sphingolipid levels [Sphingomyeline C18:0]"
"86","GCST002965_23","Glycerophospholipid levels [Phosphatidylcholine diacyl C36:5]"
"87","GCST007284","LDL cholesterol x physical activity interaction (2df test)"
"88","GCST008083","Triglyceride levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)"
"89","GCST008702_3","Triglyceride levels [EA]"
"90","GCST010173","Triglyceride levels"
"91","NEALE2_23116_raw","Leg fat mass (left)"
"92","SAIGE_411","Ischemic heart disease"
"93","FINNGEN_R5_H7_GLAUCOMA","Glaucoma"
"94","GCST000420","Rheumatoid arthritis"
"95","GCST002965_11","Glycerophospholipid levels [Phosphatidylcholine acyl-alkyl C40:5]"
"96","GCST004373","Atrial fibrillation"
"97","GCST009363","Triglyceride levels x short total sleep time interaction (2df test)"
"98","GCST010556_2","Type 2 diabetes [conditional]"
"99","NEALE2_20002_1077","Heart arrhythmia | non-cancer illness code, self-reported"
"100","GCST002155","Osteoarthritis (hip)"
"101","GCST006308","Triglycerides [Filipino]"
"102","GCST007692_30","Chronic obstructive pulmonary disease [conditional on rs9399401]"
"103","GCST010038","Aortic valve stenosis"
"104","GCST90007526","Low hand grip strength (60 years and older) (EWGSOP)"
"105","GCST002560","Type 2 diabetes"
"106","GCST003680","C-reactive protein levels or HDL-cholesterol levels (pleiotropy)"
"107","GCST005409_2","Open-angle glaucoma and vertical cup-disc ratio [EA]"
"108","GCST011017","Triglyceride levels"
"109","FINNGEN_R5_DM_NEPHROPATHY_EXMORE","Diabetic nephropathy (more controls excluded)"
"110","GCST001454","Rheumatoid arthritis"
"111","GCST003830_8","Response to bronchodilator in chronic obstructive pulmonary disease (change in FEV1) [BDRPRED, EA]"
"112","GCST004337","Gondoic acid (20:1n-9) levels"
"113","GCST005829","Hand grip strength"
"114","GCST007142_5","Triglycerides [Hispanic]"
