"targetId","targetSymbol","targetName","biotype","maxLiteratureEvidencePhenotype","maxLiteratureEvidenceCount","chronic obstructive pulmonary disease","glaucoma","hypertension","rheumatoid arthritis","obesity","age-related macular degeneration","heart disease","osteoporosis","chronic kidney disease","atherosclerosis","longevity","lipid measurement","lean body mass","grip strength measurement","cognitive decline measurement","delirium","heel bone mineral density","adult onset asthma","chronic pain","alzheimers disease","type 2 diabetes","osteoarthritis","parkinsons disease","metabolic syndrome","adiponectin measurement","gait measurement","healthspan","stroke","idiopathic pulmonary fibrosis","frailty measurement","lewy body dementia","cartilage thickness measurement","neurodegeneration","HGNC","PDB","GenAge.ID","GenAge.URL","CellAge.senescence_effect","n_hallmarks","goHallmarks","goHallmarkTerms","AB","OC","PR","SM","overallMultimorbidityCount"
"ENSG00000070366","SMG6","SMG6 nonsense mediated mRNA decay factor","protein coding","heart disease",4,NA,0.43,0.19,NA,NA,NA,0.56,NA,NA,0.32,NA,0.12,0.54,NA,NA,NA,0.49,NA,NA,NA,0.21,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17809","2DOK, 2HWW, 2HWX, 4UM2",NA,NA,NA,1,"Telomere maintenance","telomere maintenance","No_Evidence","No_Evidence","Discovery_Opportunity","Predicted_Tractable",9
"ENSG00000087502","ERGIC2","ERGIC and golgi 2","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,0.37,NA,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30208",NA,NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(M/L)","No_Evidence","Discovery_Opportunity","No_Evidence",3
"ENSG00000115252","PDE1A","phosphodiesterase 1A","protein coding","heart disease",7,NA,NA,0.32,NA,NA,NA,0.41,NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8774","1LXQ",NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","Clinical_Precedence",3
"ENSG00000120341","SEC16B","SEC16 homolog B, endoplasmic reticulum export factor","protein coding","obesity",3,NA,0.01,0.05,0,0.56,NA,0.01,NA,NA,NA,NA,0.61,0.79,0.6,NA,NA,NA,NA,NA,NA,0.7,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30301",NA,NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(M/L)","No_Evidence","Discovery_Opportunity","No_Evidence",7
"ENSG00000224578","HNRNPA1L3","heterogeneous nuclear ribonucleoprotein A1 like 3","protein coding",NA,NA,NA,0.37,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48778",NA,NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","No_Evidence","No_Evidence",3
"ENSG00000069011","PITX1","paired like homeodomain 1","protein coding","heart disease",9,NA,NA,NA,NA,NA,NA,0.47,NA,NA,NA,NA,0.44,0.76,NA,NA,0,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9004",NA,NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",4
"ENSG00000118407","FILIP1","filamin A interacting protein 1","protein coding","osteoarthritis",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,0.05,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21015",NA,NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","No_Evidence",3
"ENSG00000132837","DMGDH","dimethylglycine dehydrogenase","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,0.05,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24475","5L46",NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","Discovery_Opportunity",3
"ENSG00000174482","LINGO2","leucine rich repeat and Ig domain containing 2","protein coding","obesity",9,NA,NA,NA,NA,0.49,NA,0,NA,NA,NA,NA,0.73,0.77,NA,NA,NA,NA,NA,NA,NA,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21207",NA,NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(M/L)","No_Evidence","Discovery_Opportunity","Predicted_Tractable",4
"ENSG00000263001","GTF2I","general transcription factor IIi","protein coding","hypertension",17,0.31,NA,0.4,0.27,NA,NA,0.4,NA,NA,NA,NA,0.19,NA,NA,NA,NA,0.57,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4659","2D9B, 2DN4, 2ED2, 2EJE",NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",7
